"","Athlete","State","Coll.Time","Gr12","Gr11","Gr10","Gr9","Team","College.Grade","Name.of.College","Year","College.Conf","College.All.Conf","College.AA","Olympian","College.Division","Event"
"88","Emily Cheroske","MT",00:02:09.4,00:02:18.37,NA,NA,NA,"Bigfork","SR","Montana",2018,"Big Sky",0,0,0,"D1","800m"
"89","Emily Chilton","BC",00:02:15.7,NA,NA,NA,00:02:24.69,"Royal City Track & Field Club","FR","Simon Fraser",2018,"GNAC",0,0,0,"D2","800m"
"90","Emily Dethlefs","PA",NA,00:02:27.08,NA,NA,00:02:44.57,"Trinity (Camp Hill)","","",2018,"UAA",0,0,0,"D3","800m"
"91","Emily Maguire","NY",00:02:34.7,00:02:34.55,NA,NA,NA,"Connetquot","JR","Fredonia",2018,"SUNYAC",0,0,0,"D3","800m"
"92","Emily Richards","CA",NA,NA,NA,00:02:25.72,00:02:29.00,"Aliso Niguel","","",2018,"OAC",0,1,0,"D3","800m"
"93","Emily Schutt","OH",NA,00:02:29.40,00:02:23.09,00:02:32.76,NA,"Riverside (Painesville)","","",2018,"OAC",0,0,0,"D3","800m"
"94","Emily Wiegel","KY",00:02:15.5,00:02:19.54,NA,NA,NA,"Assumption","FR","Bellarmine",2018,"GLVC",0,0,0,"D2","800m"
"95","Emma Bresser","KS",00:02:13.7,00:02:24.05,NA,NA,NA,"Lansing","FR","Nebraska",2018,"Big 10",0,0,0,"D1","800m"
"96","Emma Call","VA",00:02:12.3,00:02:11.30,00:02:15.06,00:02:15.06,00:02:15.84,"Maggie L. Walker","FR","Virginia",2018,"ACC",0,0,0,"D1","800m"
"97","Emma Moravec","IL",00:02:12.5,00:02:13.60,00:02:12.80,00:02:12.22,00:02:20.60,"Downers Grove (North)","FR","Marquette",2018,"Big East",0,0,0,"D1","800m"
"98","Emma Willadsen","CO",00:02:22.5,00:02:20.93,00:02:23.19,00:02:21.89,00:02:23.54,"Eaton","","Chadron State",2018,"Rocky Mtn",0,0,0,"D2","800m"
"99","Erica Barrett","CA",00:02:30.5,00:02:19.25,00:02:24.75,00:02:27.80,00:02:33.40,"Westview","FR","Williams",2018,"NESCAC",0,0,0,"D3","800m"
"100","Erica Eades","MN",00:02:14.7,00:02:15.16,NA,00:02:19.37,00:02:20.86,"East Grand Forks","SO","North Dakota",2018,"Big Sky",0,0,0,"D1","800m"
"101","Erica Rittgers","IA",NA,NA,NA,NA,00:02:28.85,"Prairie Valley","","",2018,"American Rivers Conf",0,0,0,"D3","800m"
"102","Erin Alpers","SD",NA,00:02:24.47,NA,NA,NA,"Sioux Falls Christian","","",2018,"MIAC",0,0,0,"D3","800m"
"103","Erin Chessin","CA",00:02:13.1,00:02:20.77,00:02:18.58,NA,NA,"Los Gatos","JR "," Humboldt State",2018,"CCAA",0,0,0,"D2","800m"
"104","Ersula Farrow","MI",00:02:06.2,NA,00:02:07.63,00:02:07.91,00:02:10.18,"Grosse Pointe South","","LSU",2018,"SEC",0,0,0,"D1","800m"
"105","Evie Kammeyer","IA",NA,00:02:40.60,NA,NA,NA,"Urbandale","","",2018,"American Rivers Conf",0,0,0,"D3","800m"
"106","Faramola Shonekan","MO",00:02:20.5,00:02:23.09,00:02:19.80,00:02:30.84,NA,"Rock Bridge","","Missouri",2018,"SEC",0,0,0,"D1","800m"
"107","Fiona Casey","IL",NA,00:02:16.54,00:02:21.82,00:02:26.91,00:02:38.00,"Chicago (Northside)","","",2018,"MIAC",0,0,0,"D3","800m"
"108","Flora Naylor","TX",00:02:36.4,00:02:23.47,00:02:27.02,NA,NA,"San Antonio Providence","FR","Wellesley",2018,"NEWMAC",0,0,0,"D3","800m"
"109","Frances Bull","OH",00:02:10.4,00:02:21.09,NA,NA,NA,"Lake Catholic","SO","Penn State",2018,"Big 10",0,0,0,"D1","800m"
"110","Frances Duncan","MA",00:02:26.8,00:02:16.91,00:02:29.38,00:02:24.01,00:02:34.83,"Amherst Pelham Regional","SO","Smith Colleg",2018,"NEWMAC",0,0,0,"D3","800m"
"111","Gabby Crank","TX",00:02:04.6,00:02:10.60,00:02:13.23,00:02:17.70,00:02:13.38,"Dallas Highland Park","JR","Texas",2018,"Big 12",0,0,0,"D1","800m"
"112","Gianna Bender","MA",00:02:13.9,00:02:16.40,00:02:14.59,NA,NA,"King Philip","JR","Boston College",2018,"ACC",0,0,0,"D1","800m"
"113","Gina Kowalewicz","IL",NA,00:02:16.85,00:02:25.60,00:02:30.68,NA,"Downers Grove (North)","","",2018,"OAC",0,0,0,"D3","800m"
"114","Glindyll Mancia","CA",00:02:19.6,00:02:19.67,00:02:19.70,00:02:18.59,NA,"Arcadia","","Western State",2018,"Rocky Mtn",0,0,0,"D2","800m"
"115","Gloria Esarco","WI",00:02:23.7,00:02:26.20,00:02:21.87,00:02:23.58,00:02:28.90,"Big Foot","FR","Illinois-Spgfld.",2018,"GLVC",0,0,0,"D2","800m"
"116","Grace Barnett","SC",00:02:05.9,00:02:27.17,00:02:24.10,NA,NA,"Waccamaw","SR","Clemson",2018,"ACC",0,0,0,"D1","800m"
"117","Grace Hall","CA",00:02:37.7,00:02:23.70,00:02:32.68,00:02:36.98,00:02:38.36,"Liberty (Madera Ranchos)","SO "," Humboldt State",2018,"CCAA",0,0,0,"D2","800m"
"118","Grace Regan","NY",00:02:27.4,00:02:28.66,NA,00:02:31.70,NA,"Kingston","FR","Babson",2018,"NEWMAC",0,0,0,"D3","800m"
"119","Grace Trucilla","PA",00:02:16.7,00:02:18.22,00:02:15.03,00:02:16.85,00:02:16.96,"Villa Maria Academy (Erie)","JR","Penn State",2018,"Big 10",0,0,0,"D1","800m"
"120","Haley Anderson","GA",00:02:09.8,00:02:15.75,NA,NA,NA,"West Forsyth","SR","Georgia Tech",2018,"ACC",0,0,0,"D1","800m"
"121","Haley Rich","NJ",00:02:27.9,00:02:24.92,00:02:25.65,NA,00:02:25.73,"West Windsor-Plainsboro South","FR","Tufts",2018,"NESCAC",0,0,0,"D3","800m"
"122","Hannah Bablak","PA",00:02:12.8,00:02:14.34,00:02:16.53,00:02:17.82,00:02:25.62,"Quaker Valley","JR","Rice",2018,"Conf USA",0,0,0,"D1","800m"
"123","Hannah Derby","WA",00:02:12.3,00:02:10.03,00:02:12.04,00:02:16.28,00:02:19.83,"Bellarmine Prep","JR","Washington",2018,"Pac 12",0,0,0,"D1","800m"
"124","Hannah Dimmick","VA",00:02:13.5,00:02:29.45,00:02:15.83,NA,NA,"McLean","SR","Kansas",2018,"Big 12",0,0,0,"D1","800m"
"125","Hannah Helstad","WI",NA,00:02:17.25,NA,NA,NA,"Sun Prairie","","",2018,"MIAC",1,0,0,"D3","800m"
"126","Hannah Lonergan","MI",00:02:26.0,00:02:20.03,00:02:19.79,00:02:21.20,00:02:31.70,"Novi","","Northern Michigan",2018,"GLIAC",0,0,0,"D2","800m"
"127","Heather Muntz","IA",NA,NA,00:02:20.09,NA,NA,"Hempstead","","",2018,"American Rivers Conf",1,0,0,"D3","800m"
"128","Helen Dolan","MA",NA,00:02:28.64,NA,NA,NA,"Holliston","","",2018,"MIAC",0,0,0,"D3","800m"
"129","Holly Heil","NY",00:02:26.4,NA,NA,00:02:29.91,NA,"Medina","SO","Brockport",2018,"SUNYAC",0,0,0,"D3","800m"
"130","Hunter Gowans","NY",00:02:22.1,00:02:27.34,NA,NA,NA,"Mexico Central","JR","Geneseo",2018,"SUNYAC",0,0,0,"D3","800m"
"131","Imani Arnold","GA",00:02:22.7,00:02:20.22,00:02:26.03,00:02:29.99,NA,"Loganville","","North Georgia",2018,"Peach Belt",1,0,0,"D2","800m"
"132","Imani Coleman","NJ",00:02:14.7,00:02:15.69,NA,NA,NA,"Columbia","SR","N. Carolina A&T",2018,"MEAC",0,0,0,"D1","800m"
"133","Infinnatie Rowe","MI",00:02:13.5,NA,00:02:37.44,NA,NA,"Pontiac","FR","Morgan State",2018,"MEAC",0,0,0,"D1","800m"
"134","Isabella King","OH",00:02:28.1,00:02:18.67,NA,NA,NA,"Turpin","SR","Wellesley",2018,"NEWMAC",0,0,0,"D3","800m"
"135","Jacque Garza","IL",NA,NA,00:02:27.91,NA,NA,"Grayslake (North)","","",2018,"American Rivers Conf",0,0,0,"D3","800m"
"136","Jacquelyn Hill","CA",00:02:12.0,00:02:08.30,00:02:09.51,00:02:08.06,00:02:10.43,"Etiwanda","FR","UCLA",2018,"Pac 12",0,0,0,"D1","800m"
"137","Jadyn Agee","NE",NA,00:02:31.10,00:02:35.00,00:02:34.01,00:02:32.72,"Lincoln East","","",2018,"American Rivers Conf",0,0,0,"D3","800m"
"138","Jaimie Phelan","ON",00:02:09.2,00:02:11.20,00:02:12.00,00:02:13.80,NA,"St Mary's (Kitchener)","SR","Michigan",2018,"Big 10",0,0,0,"D1","800m"
"139","Jamie Amoroso","NY",NA,00:02:23.11,NA,00:02:33.02,NA,"Pittsford Mendon","","",2018,"OAC",0,0,0,"D3","800m"
"140","Jamie Morrissey","MI",00:02:05.3,00:02:10.48,00:02:10.80,00:02:15.00,NA,"Rochester Adams","SR","Michigan",2018,"Big 10",1,0,0,"D1","800m"
"141","Jasmine Staebler","IA",00:02:04.5,00:02:14.07,NA,00:02:15.36,00:02:14.91,"Clayton Ridge","JR","Iowa State",2018,"Big 12",1,0,0,"D1","800m"
"142","Jaylan Fraser-Mines","MA",00:02:28.9,NA,NA,00:02:24.99,00:02:26.54,"Tyngsborough","FR","Williams",2018,"NESCAC",0,0,0,"D3","800m"
"143","Jazmine Fray","NY",00:02:03.6,00:02:10.35,00:02:13.79,00:02:09.07,00:02:13.72,"Kellenberg Memorial","","Texas A&M",2018,"SEC",1,0,0,"D1","800m"
"144","Jean Jenkins","TX",00:02:09.1,00:02:13.90,00:02:12.92,00:02:13.32,00:02:17.80,"Houston Cyp. Falls","","Texas A&M",2018,"SEC",0,0,0,"D1","800m"
"145","Jena Hauch","MN",NA,00:02:18.90,00:02:18.90,00:02:36.40,NA,"Maple Grove","","",2018,"MIAC",0,0,0,"D3","800m"
"146","Jennifer Eaton","MI",00:02:18.0,00:02:21.49,00:02:23.25,00:02:35.00,00:02:34.21,"St. Johns","","Ferris State",2018,"GLIAC",0,0,0,"D2","800m"
"147","Jenny Mazzella","NJ",00:02:23.7,00:02:20.02,00:02:19.53,00:02:20.51,NA,"Millburn","SO","Amherst",2018,"NESCAC",0,0,0,"D3","800m"
"148","Jesse Jacobusse","MI",00:02:21.6,00:02:28.80,00:02:22.21,NA,NA,"Chelsea","","Michigan Tech",2018,"GLIAC",0,0,0,"D2","800m"
"149","Jessi Smith","NE",00:02:13.5,00:02:32.28,00:02:17.28,00:02:15.27,00:02:20.72,"Bayard","SO","Nebraska",2018,"Big 10",0,0,0,"D1","800m"
"150","Jessica Harris","MD",00:02:05.9,00:02:13.80,00:02:14.92,NA,00:02:20.24,"Mt  de Sales","JR","Notre Dame",2018,"ACC",0,0,0,"D1","800m"
"151","Jessica Kresl","NM",00:02:22.7,00:02:25.00,NA,NA,NA,"Aztec","","Western State",2018,"Rocky Mtn",0,0,0,"D2","800m"
"152","Joely Pinkston","IN",00:02:07.3,00:02:13.06,NA,NA,NA,"Heritage Christian","FR","Indiana",2018,"Big 10",0,0,0,"D1","800m"
"153","Jordan Lutz","MN",NA,00:02:19.29,00:02:23.72,00:02:23.27,00:02:28.85,"Mahtomedi","","",2018,"MIAC",1,0,0,"D3","800m"
"154","Julia Heymach","TX",00:02:08.6,00:02:07.86,00:02:08.55,00:02:10.07,NA,"Houston Lamar","FR","Stanford",2018,"Pac 12",0,0,0,"D1","800m"
"155","Julia Nemy","CA",00:02:22.8,00:02:29.63,00:02:32.35,00:02:37.11,NA,"Convent and Stuart Hall","SR","Bates",2018,"NESCAC",0,0,0,"D3","800m"
"156","Kaia Bierman","MN",NA,00:02:14.09,NA,NA,NA,"Northfield/ARTech","","",2018,"American Rivers Conf",0,0,0,"D3","800m"
"157","Kailee Sawyer","ON",00:02:12.4,00:02:14.57,00:02:06.62,00:02:08.22,00:02:09.58,"Bluevale Collegiate Institute","","Arkansas",2018,"SEC",0,0,0,"D1","800m"
"158","Kaitlyn Mooney","NJ",00:02:18.3,NA,00:02:23.10,NA,NA,"Southern Regional","FR","Coast Guard",2018,"NEWMAC",0,0,0,"D3","800m"
"159","Kaitlynn Johnson","NE",00:02:14.8,00:02:15.50,00:02:17.97,00:02:14.57,00:02:24.07,"Millard West","FR","Nebraska",2018,"Big 10",0,0,0,"D1","800m"
